TITLE,COMPANY,SALARY,Gender Identity / Ethnicity,YEARS OF EXPERIENCE,LOCATION,JOB DUTIES,PREV SALARIES/TITLES/ETC
Assistant Managing Editor,Business Insider/Insider,"$86,000 ",cis latina female,6,New York,"Manage fellowship program, oversee newsroom trainings, recruit and hire, maintain newsroom policies, manage distribution team","Copy chief ($72,000), senior copy editor ($55,000), copy editor ($48,000)"
Photo editor,Business Insider/Insider,"$63,000 + $5,000 bonus",cis white queer male,5,NYC,"Designing/shooting/editing in-house visuals for editorial and revenue, tracking licensing of in-house visuals, managing editorial wire subscriptions, fielding legal and sourcing questions, organizing/hiring freelance photographers, collaborating with story art team on large projects/revenue projects, training reporters in photo basics, weekly visual legal trainings for new hires, managing photo team","Photo intern ($11/hr, 2015) > visuals reporter/photographer ($40k, 2015) > COLA ($42k, 2016) > raise ($48k, 2016) > raise ($52k, 2017) > photo editor ($58k, negotiated to $63k within two months)"
Reporter,Business journal in Colorado (can't disclose because it's too easy to track down),"$40,000 per year",White cis male,3,Fort Collins/Boulder,Reporting for daily online issue (2-5 stories per day) and monthly print edition (1-2 longforms per month),"2 newspapers in Iowa over 3 years- $27.5K for 2 years, $37k for 1 year"
"Senior director, content",business-to-business publisher,165000,male/white,30,new york,run branded content studio,
Associate Editor,Bustle Digital Group,"$63,000 ",cis white female,5+ years journalism experience,Remote,#NAME?,
Senior editor,Bustle Digital Group,"$73,000 ",Cis white woman,7,NYC,"Assigning/editing features, reported pieces, and essays ","Started senior editor at $70K
Editor at $60K, then $65K
Associate editor at $47K, then $52K"
Associate Editor (commerce),Bustle Digital Group,"63,000 (bonus if revenue goals met)",White female,14,Remote,,
Senior Editor,Bustle Digital Group,"$70,000 ",White cis female,4,New York,"Editing news and features, managing a small team, some writing","Full-time freelance writer at Hearst: $17/hour
Assistant editor at Hearst: $42k
Editor at Bustle Digital Group: $55k
Raise to $60k — no promotion
Promoted to Senior Editor at $63k
Asked for $75k when I found out colleagues were making that, given $70k"
Designer,Bustle Digital Group,"$62,000 ",cis white woman,3,"New York, NY",,"$52,500 - Design Assistant"
Senior Editor,Bustle Digital Group,"82,500",Cis white female,6,New York,,
Associate Editor,Bustle Digital Group,"$60,000 ",cis het white male,2.5,New York City,"Editing staff writers and interns, managing editorial calendar, reporting and writing posts","Started at $48,000 as staff reporter"
Staff Writer,Bustle Digital Group,$30/hr,cis white woman,8,Remote,"researching, pitching, writing 2-3 blogs or 1,500 words a day",Associate editor - $60K; Producer - $75K; Executive assistant - $45K; Events director at a nonprofit - $35K
Editor,Bustle Digital Group,"$61,000 ",Cis white female,3,New York City,Manage writers and vertical content,"Staff writer, freelance writer"
Associate Editor,Bustle Digital Group,"$58,500 ",Cis white woman,4,New York City,"Manage team of part-time writers, edit large volume of weekly posts, feature writing","Staff writer: $45,000
Freelance: between $25,000-$35,000 (this was right out of college/entry level work)"
Senior Editor ,Bustle Digital Group ,105k,White Cis Female ,10,New York ,,
Staff Writer,Bustle Media ,$18 per hour,POC female,3+ years  ,Remote,"pitching, researching, writing, editing, 1500+ words daily",
Assistant Program Director/Music Director & AM Show Radio Host ,Bustos Media,"$50,000 ",F/Straight/Mixed Hispanic,17,"Tucson, Arizona","Create programming clocks, Schedule Music Logs, Track all music played, help create and input audio for on air and promotional use, weekday music intensive morning show, community events and live broadcasts. ","MD/Morning Show Host - $40,000"
Staff writer,Butler Media,"$26,000 ",cis white woman,2,Pittsburgh,"cover arts, entertainment, news, basically everything. Editing, proofreading, etc. ","$7.25/hr, $13/hr"
Audience development strategist,BuzzFeed,"$67,000 ",,4,NYC,"Fielding data requests, putting together coverage recaps, writing timely posts, working on a variety of content strategy projects",
Reporter,BuzzFeed,"$71,000 ",,10 years full-time in journalism,LA,#NAME?,
Reporter,BuzzFeed,"$82,500 ",,"5 years FT at BF, 1 year freelance",NY-HQ,#NAME?,
Editor,BuzzFeed,"59,000","Female, white, cis, het",12,,"Editing, writing, hiring, managing, data analysis","staff writer (41K), senior staff writer (54K)"
Video Fellow,BuzzFeed,$18 /hr ,Woman CIS,,New York,produce/edit/shoot a video a week,
Art Director,BuzzFeed,"90,000",Cis Female / White,6,NYC,Manage editorial and branded art/design/video projects ,62k (freelance) > 63.5k (starting BF) > 65k (graphic designer) > 71k > 80k (AAD) > 90k (AD)
Project Manager ,BuzzFeed,72000,Female / White ,1.5,New York ,"Handle execution of projects between editorial and business team that fall within the scope of affiliate shopping content, branded content, and strategic partnerships ","Product Coordinator - $55,000"
Associate Art Director,BuzzFeed,"$76,200 ",Latina,6,LA,"Manage a small design team, create graphic, illustration, and motion designs for various Editorial and Branded projects.",Starting at BuzzFeed: 43K (Jr. Designer) > 55K (Illustrator 1) > 74K (AAD)
Reporter,BuzzFeed News,"$42,000 ",cis white male,"4 as reporter, 3 as writer",Remote,"reporting, field reporting, occasionally breaking news, research",
Staff Writer,BuzzFeed News,"$70,000 ",cis latinx male ,5+ years FT,NYC,#NAME?,"$50,000 starting in 2014."
Reporter,BuzzFeed News,"$74,200 ",white cis-female,4.5 years at BF,NYC,"breaking news, several news features, internet culture reporting","-$12/hour as a buzzfeed fellow 2015
-$40,000 starting salary (flat-rate) when converted from fellow to Buzz Writer 2015
-$54,000 leveling 2016, moved to News side later that year
-$60,000 raise 2017
-$64,200 promotion 2018
-$74,200 promotion 2019"
Reporter,BuzzFeed News,"$82,445 ",,"7 years at BF, 8.5 years full-time in journalism",Remote,#NAME?,"-$45,000 starting salary in 2013
-$50,000 raise in 2014
-$60,000 raise in 2015
-$64,000 raise in 2016
-$73,000 market compensation adjustment in July 2016
-$75,190 raise in 2017
-$77,445 raise in 2018"
Deputy Editor ,BuzzFeed News,"$86,000 ",white cis-female,6 years,NYC/ SF,"Breaking news, editing stories, managing various social channels, 
video production (shooting and editing) editorial planning,
 digital asset management, cross-platform coordination,
 launch of new pages","-editorial fellowship
- 55k Associate LGBT Editor
- bumped at various times  to 70k
- promotion to deputy editor,  86k in 2018 before lay offs"
Deputy Editor,BuzzFeed News,"$90,000 ",cis white man,7 years,SF,editing,"Editor at regional magazine: $60,000"
Reporter,BuzzFeed News,"$104,000 ",POC woman,9,west coast,reporting and writing,
Reporter & editor,BuzzFeed News,"75,000",Cis WOC,5,NY,"Reporting, assigning, editing breaking news","- news writer $19/hr
- associate general news editor $57,500 (1-3 years experience)
- associate news and politics editor $55,000 (3-5 years experience)"
News Curation Editor,BuzzFeed News,"$72,000 ",Cis White Man,6,New York City,"Running social channels, working with desks to prep copy for stories, broader social strategy.","- Web producer at local tv station in Buffalo, NY: $24,000 (+ overtime)
- Web producer at local tv station in Washington, DC: $45,000 (no overtime)
- Social media editor a digital brand backed by large news corporation: $65,000
- Starting salary at BF: $68,000"
Senior Reporter and Editor,BuzzFeed News,"$115,000 ",Male / Black,7,New York,MANY,
Reporter,BuzzFeed News,"58,000",White cis female,8,Remote,"Reporting breaking news, features",
News Curation Editor,BuzzFeed News,"$70,000 ","WOC, cis",5,NYC,"Running social channels, sending push alerts, curation mobile app, homepage editor, promoting BF shows and series","- $75,600 Mobile News Editor - contractor, but they offered health insurance
- $18/hour ($38,800)  - Program Coordinator at cable network, no health insurance"
Staff Writer 2,BuzzFeed.com ,"67,000",Black cis straight woman (first-gen American),8,NYC,"For starters, writing daily posts for BuzzFeed.com (not News), tracking post traffic and iterating on ""successes,"" developing new methods of creating ""viral"" content, producing and starring in videos, producing and publishing art projects, creating branded and sponsored content, brainstorming editorial, branded, and sponsored strategy for vertical, participating in and/or leading tent pole projects and sprints across different teams...","Jr Staff Writer (Style/Beauty Team) - $55,000 (HR told me this was the maximum amount a junior writer could make), Staff Writer 1 (As/Is Team, received promotion less than a year in thanks to my manager - a black woman- and her former manager - a white woman) ~$63,00. I advocated, painstakingly (I paid a negotiation expert $200 for tips/advice) and successfully, for 6 months for a subsequent promotion to Staff Writer 2 because I realized was performing the responsibilities and had the skill set of that position according to BuzzFeed's Leveling and Compensation policy."
web producer,C-SPAN,"$54,800 ",cis-het female,6,"Washington, D.C.","write all website content, oversee live streams, write breaking news updates, source/choose photos","radio production assistant (entry-level) $31,600"
Staff Reporter,Call Newspapers,"26,000",Cis-Het white female,3,St. Louis,"Reporting on local government, breaking news stories, human interest stories, education, etc. Also assist in page layout and design. I do all the photos for our paper and the majority of photo editing. Also assist in editing copy. ",
Editorial Assistant,"Canadian magazine, part of a larger media company","$40,000 ",Female/White,5,Toronto,"Daily digital reporting, reporting for magazine, daily paperwork",
Producer,Canadian Public Broadcasting,$71000 Canadian,"Female, Jewish",11,Toronto,"Pitching for segments, researching/writing questions, creating graphics, choosing and booking guests for interviews and panels",$33000 for section editor of small religion-focused community paper
Reporter/Web Editor,"Canadian radio station, part of a large media company","$50,000 ",Female/White,6,Vancouver,Reporter/Web Editor ,
Sports Reporter,Canadian Television Station,"49,000",cis White female,5,Western Canada,"Web writing, video journalist, camera work, editing, reporting, on camera","Small TV station 28,000 annual
Medium Market TV Host 60,000 annual"
Producer,Canadian TV station,"$69,000 CAD (or $52,000 USD)",Cis POC female,8,Toronto,"One or more of the following every day: assigning for the daily news show, lining up the show, segment-producing for reporters, taking the show to air.","Reporter/$50-55k CAD (print, digital & broadcast salaries, 4 years running)"
Digital Investment Specialist,Canvas Worldwide,62000,Female,2,Los Angeles,,
Health Reporter/Staff Writer,Carroll County Times/Baltimore Sun Media Group/Tribune Publishing,"$36,500 ","White, cishet male.",7,"Westminster, Maryland","Daily newspaper reporter: Covering breaking news, meeting daily deadlines while also working ahead on features and reporting projects. ","Started at $29,000 at associated weekly paper, moved to daily and had to fight for six months to get the typically $31,500 salary. Got bumped to $34K and change in 2016 after getting other job offers and boss was able to (almost) match. Bumped to current salary by company wide raise in 2017. My take home pay is currently $324 per week. "
